iter	Passed	Remaining
402	11220	2700
403	11247	2672
404	11274	2644
405	11300	2616
406	11342	2591
407	11376	2565
408	11402	2537
409	11429	2509
410	11456	2480
411	11483	2452
412	11509	2424
413	11535	2396
414	11562	2368
415	11588	2340
416	11615	2312
417	11641	2283
418	11670	2256
419	11697	2228
420	11724	2200
421	11752	2172
422	11778	2144
423	11808	2116
424	11835	2088
425	11861	2060
426	11895	2033
427	11922	2005
428	11949	1977
429	11975	1949
430	12001	1921
431	12029	1893
432	12055	1865
433	12082	1837
434	12108	1809
435	12135	1781
436	12162	1753
437	12189	1725
438	12215	1697
439	12242	1669
440	12270	1641
441	12296	1613
442	12330	1586
443	12370	1560
444	12398	1532
445	12427	1504
446	12454	1476
447	12480	1448
448	12510	1421
449	12537	1393
450	12564	1365
451	12591	1337
452	12617	1309
453	12644	1281
454	12670	1253
455	12696	1225
456	12724	1197
457	12751	1169
458	12778	1141
459	12804	1113
460	12830	1085
461	12856	1057
462	12882	1029
463	12910	1001
464	12937	973
465	12964	945
466	12991	918
467	13018	890
468	13044	862
469	13071	834
470	13097	806
471	13124	778
472	13151	750
473	13178	722
474	13203	694
475	13231	667
476	13257	639
477	13284	611
478	13310	583
479	13336	555
480	13363	527
481	13389	500
482	13416	472
483	13444	444
484	13471	416
485	13497	388
486	13523	360
487	13549	333
488	13576	305
489	13603	277
490	13629	249
491	13656	222
492	13683	194
493	13710	166
494	13737	138
495	13764	111
496	13790	83
497	13817	55
498	13843	27
499	13870	0
