iter	MAE
197	4.2739129
198	4.263233269
199	4.231319415
200	4.212717779
201	4.163812917
202	4.150740958
203	4.144091283
204	4.140097448
205	4.132399847
206	4.125619391
207	4.100606189
208	4.081399659
209	4.055656894
210	4.016051865
211	4.012282085
212	4.006703832
213	3.993058789
214	3.988589222
215	3.971425877
216	3.966834317
217	3.911662704
218	3.880464066
219	3.863026175
220	3.846028519
221	3.81460069
222	3.796317518
223	3.778613943
224	3.764438216
225	3.756994082
226	3.752012252
227	3.728358079
228	3.707444802
229	3.693643143
230	3.679453626
231	3.666903598
232	3.658587292
233	3.639805396
234	3.626127073
235	3.609478553
236	3.578696279
237	3.560285836
238	3.537484787
239	3.508564122
240	3.503922348
241	3.494275046
242	3.490209576
243	3.463254032
244	3.447637329
245	3.437031023
246	3.431368636
247	3.421190024
248	3.413868747
249	3.400072217
250	3.386632204
251	3.374414771
252	3.355152446
253	3.348915786
254	3.321990036
255	3.300447756
256	3.27826705
257	3.260979919
258	3.242894528
259	3.236699391
260	3.235811954
261	3.231575109
262	3.223655629
263	3.219153471
264	3.204144839
265	3.197149862
266	3.188330693
267	3.178791106
268	3.172294932
269	3.167509533
270	3.156403516
271	3.150415971
272	3.149150552
273	3.144917553
274	3.130775951
275	3.128392306
276	3.119123246
277	3.102095974
278	3.10039517
279	3.094803366
280	3.085243773
281	3.076112541
282	3.069905925
283	3.058045554
284	3.037512649
285	3.018229509
286	3.009915708
287	3.001539124
288	2.99289512
289	2.983254475
290	2.980682424
291	2.972022667
292	2.967723765
293	2.958888413
294	2.95484738
295	2.930918525
296	2.902760054
297	2.893264131
298	2.888092833
299	2.879189779
300	2.860551131
301	2.857443188
302	2.849897845
303	2.840661183
304	2.836546024
305	2.831914136
306	2.82473181
307	2.82019313
308	2.807605248
309	2.804042579
310	2.786887358
311	2.78288603
312	2.768333913
313	2.762911436
314	2.756584818
315	2.75011563
316	2.737505966
317	2.712839531
318	2.703763758
319	2.701037035
320	2.691707351
321	2.678954095
322	2.676557727
323	2.671053229
324	2.660027102
325	2.645133734
326	2.618439568
327	2.603818874
328	2.596600153
329	2.593015085
330	2.587040432
331	2.567050735
332	2.563673562
333	2.55380054
334	2.550412065
335	2.539907556
336	2.532286797
337	2.530699702
338	2.520325644
339	2.516448838
340	2.508870568
341	2.505545259
342	2.498453195
343	2.495659037
344	2.461056343
345	2.445133399
346	2.437511705
347	2.428948254
348	2.424780051
349	2.41481832
350	2.410296863
351	2.407708988
352	2.405910434
353	2.400849358
354	2.391637503
355	2.387266955
356	2.382599938
357	2.367291679
358	2.365324122
359	2.362452493
360	2.358112428
361	2.349433518
362	2.34724348
363	2.342631406
364	2.327908859
365	2.318164984
366	2.315082557
367	2.309870002
368	2.306828686
369	2.305243346
370	2.305004949
371	2.302949018
372	2.302512689
373	2.297310646
374	2.293010089
375	2.290655987
376	2.281172828
377	2.269150741
378	2.262863506
379	2.253945019
380	2.252305191
381	2.247489878
382	2.235693466
383	2.231615662
384	2.217863154
385	2.216890623
386	2.21420179
387	2.212629133
388	2.205781263
389	2.199456759
390	2.19314298
391	2.186859033
392	2.184394538
393	2.174219396
394	2.170803375
395	2.164471741
396	2.160904262
397	2.155882317
398	2.154662033
399	2.152430798
400	2.142003763
401	2.132556641
402	2.122773488
403	2.115448275
404	2.099303402
405	2.089294592
406	2.086426114
407	2.081137484
408	2.074267829
409	2.069529801
410	2.06855582
411	2.058647328
412	2.050486119
413	2.045197416
414	2.041500026
415	2.040851119
416	2.035080869
417	2.032024935
418	2.021538871
419	2.019488166
420	2.010470655
421	2.00347875
422	1.994464628
423	1.989278772
424	1.986100875
425	1.982670199
426	1.97772614
427	1.966577287
428	1.960865529
429	1.949042411
430	1.941687385
431	1.927707881
432	1.923833864
433	1.921199958
434	1.918391952
435	1.915098463
436	1.909492783
437	1.904475344
438	1.898904607
439	1.897886941
440	1.891008155
441	1.88975569
442	1.88913128
443	1.883037636
444	1.881285556
445	1.872268212
446	1.857624235
447	1.8527797
448	1.847302791
449	1.845717337
450	1.839509761
451	1.835418514
452	1.835065962
453	1.833106241
454	1.823490452
455	1.819577088
456	1.816479121
457	1.80870342
458	1.799503872
459	1.796902229
460	1.792561559
461	1.790658685
462	1.78063205
463	1.775806631
464	1.773699147
465	1.762228099
466	1.753524861
467	1.750815803
468	1.747620988
469	1.744665059
470	1.736301729
471	1.723892401
472	1.723182623
473	1.72254134
474	1.72141575
475	1.719354646
476	1.717428067
477	1.707488967
478	1.706362613
479	1.703932685
480	1.701342199
481	1.699825876
482	1.685626052
483	1.681776341
484	1.671128281
485	1.668320313
486	1.666228896
487	1.664417456
488	1.663454051
489	1.661403605
490	1.658578039
491	1.651677788
492	1.646817173
493	1.642319389
494	1.641373551
495	1.639230961
496	1.636489846
497	1.634510417
498	1.632076277
499	1.626322851
